data,datas,label
9,범죄도시 조선족 형님이거북선 제조하니 적응이 안되네 ㅋㅋㅋㅋ,2022.07.27
10,국뽕이 치사량임 위험함,2022.07.27
10,박해일은 괜히 박해일이 아니었음.. 바다의 왕 그 자체.. 여름에 보는 해상전투씬 너무 좋았습니다. 무조건 영화관 스크린으로 보십쇼!!,2022.07.27
10,"전투에 초점을 맞춘거라 드라마적 요소는 좀 줄었지만,  거북선의 위압감은 정말 끝내준것 같음. 상영중 자막을 넣어준 것은 정말 좋았던 것 같아요 자막 덕분에 대사 전달력이 더 좋았던것 같아요~",2022.07.27
10,거북선 한대가 어벤져스 군단보다 더 웅장해보임 ㅋㅋ  클라이막스의 영상과 음악이 미쳤음,2022.07.27
10,"기대작 이라고 나왔던 영화들 보고 실망했는데, 한산은 재미있었음극초반에서 해상전투신까지 지루할수 있는데 해상전투신부터 앤딩까지 재밌게 봤음",2022.07.27
9,후반 스펙터클한 해전씬 진짜 좋았움!!! 부모님 모시구 또 가야징,2022.07.27
10,주인공이 와키자카인듯,2022.07.27
8,진짜 영웅은 장이수였다.,2022.07.27
10,올만에 국뽕 맞았네요. 재밌어요. 깔끔해요.,2022.07.27
10,"명량은 국뽕을 떠나 작품적으론 불호에 가까웠는데, 한산은 명량때의 단점들을 확실히 보완하고 감독이 칼을 갈고 만든 느낌임. 편집도 많이 매끄러워졌고 전투씬에서 사운드를 줄이지않고 자막을 차용한것도 좋은 선택인듯. 그...",2022.07.27
10,누군가는 뻔하다고 하지만 나는 너무 그리웠다 이 한국 영화 감성... 종합선물세트 같은 작품이었고 여러모로 풍성했다,2022.07.27
10,임진왜란 3대대첩 중 하나인 한산도 대첩을 스크린에서 보니 더 감동적이네요.,2022.07.27
10,"평점 낮게 주는 이유는 알겠지만, 굳이 낮게 줄 필요는 없다고 봅니다. 영화의 극적인 연출보다는 전략, 전술, 다큐, 충무공 이순신님의 고심을 중심으로 감상하시는 분들께는 최고의 영화가 아닐까 싶습니다.",2022.07.27
10,이순신이 너무 정적이고 수동적으로 그려진 것은 아닌가 하는 의문. 변요한 배우가 훨씬 더 눈에 들어온다. 해상전투씬의 비주얼은 가히 압도적. 트릴로지의 피날레를 어떻게 그려낼 지도 벌써 기대중.,2022.07.27
10,탑건2 보고 명예미국인 된 마음 다시 귀환함,2022.07.27
10,항상 감사합니다 이순신 장군님...!,2022.07.27
10,명량보단 확실히 재밌음,2022.07.27
8,왜놈들이 거북선을 왜 그렇게 무서워했는지 정말 잘 표현해냈다,2022.07.27
8,기대 많이 했는데 명랑보단 별로. 전투씬은 볼 만합니다. 다만 연기 잘 하는 배우들 모아놓고 활용?을 못 한 느낌. 이순신은 너무 대사없고..각 배우들이 연기를 못 하는게 아니라 안 어울리는 느낌. 그리고 개개인이 ...,2022.07.27
8,정말 감동적입니다.거북선이 나타날때는 울컥했네요..~재밌습니당.추천,2022.07.27
10,명량은 이순신 영화였다면 한산은 거북선 영화,2022.07.27
10,배우들 연기 장난 아니네요!! 전투씬 너무 화려해서 더욱 몰입해서 봐서 너무 재밌있었어요,2022.07.27
10,한산대첩이 아무리 우리의 압도적인 승리의 전투였다고는 하지만 영화에 긴장감을 조성하는 부분이 전혀 없다.명량에선 우리 군에 퍼진 두려움마져 홀로 감당하는 대장선의 단독 전투신이 그나마 영화를 지탱해주는 부분이였는데한...,2022.07.27
5,해상전투에 푹 빠져서 시간 가는줄 몰랐슴!,2022.07.27
10,명량의 단점은 보완했지만 장점은 살리지 못함,2022.07.27
10,그냥 무조건 보세요 !!!!연출이랑 배우들 연기가 엄청나서 영화에 2시간 동안 초집중하면서 봤어요 여운도 엄청나요,2022.07.27
10,전투 중 한국어에도 자막 삽입 땡큐. 억지 신파 없어서 땡큐. 억지 웃음 유도하는 개그 없어서 땡큐. 억지 로맨스 없어서 땡큐. 각 배우들의 묵직한 연기 베리 땡큐. CG는 약간 아쉽.. (물 없이 CG로만 촬영했...,2022.07.27
10,"일단 초중반은 지루하다 , 또한 영화 속 일본어 발음도 어색했던 것 같다. 대체로 영화가 밋밋하다. 또한 이순신이 너무 가만히 있고 진중하지만 고민하고 빠르게 결정하고 마치 동상인가 하는 느낌을 받았다 분량도 이순신...",2022.07.27
10,마지막 해전신은 잊지 못할것같음,2022.07.27
10,국뽕도 좋지만 초반에 너무 지루해요 ㅠㅠ제작비는 cg에 올인 한듯 합니다,2022.07.27
6,일본 시선에서 바라본 한산대첩 느낌이라 배우는 다 한국인인데 영화 대사의 반절이 일본말임. 그러다보니 와키자카 역의 변요한 배우보다 이순신 장군 역의 박해일 배우가 뭔가 더 밋밋하게 그려진 느낌이랄까. 해전은 멋있었...,2022.07.27
6,적응안되는 캐릭터가 몇명 있다...,2022.07.27
10,동아시안컵 완패를 한산으로 풀었다,2022.07.27
10,국뽕이여도 좋다장군님과 선조님들 때문에 내가 일본이 아닌 대한민국에서 살수있다는거에 다시한번 감사함을 느낀다이런영화는 국뽕이든 뭐든 전세계에서 상영했으면 좋겠다,2022.07.27
8,"전작을 뛰어넘는 후속작!!!더 섬세해진 CG, 더 치밀해진 구성, 더 몰입감 높은 연기력까지...돌아가신 이순신 장군께서도 감동받아 눈물 흘리실듯...",2022.07.27
10,"거북선, 항왜, 학익진, 첩보활동 등의 이야기를 다루는 전반부가 사람에 따라 지루할 수 있습니다. 전반부를 조금 더 긴박하게 전개했다면 좋았을텐데 아쉽네요. 이순신이라는 캐릭터는 명량때 보다도 더 과묵해졌고, 그래서...",2022.07.27
9,영화감상이야 주관의 영역이긴 한데ㅋㅋ무조건적인 까와 지루하다는 사람들이 생각보다 많네.구구절절한 사연들 싹 걷어내고 담담하게 끌고가서 확실한 액션으로 마무리한게 참 좋았는데.명량처럼 신파랑 민초 처발랐으면 평점이 더...,2022.07.27
9,발포할 결심,2022.07.27
8,명량보다 훨씬 나은 속편,2022.07.27
8,역사적으로 주목 받고 있는 유명한 인물들 외에도 나라를 지키기 위해 자신의 목숨까지 바쳐가며 싸워왔던 이름 모를 수많은 병사분들과 피땀 흘리며 노를 저었던 뱃노공분들... 등등 모두 모두 잊지 않겠습니다^^ 스크린X...,2022.07.27
10,쉽간지,2022.07.27
10,전편 명량보다 훨씬 재밌다.,2022.07.27
10,박해일 이순신은 눈으로 말하더라,2022.07.27
10,"4DX로 봤는데, 한산대첩 장면에서 배멀미할 뻔! 역시 이순신 장군 천재. 그나저나 박해일 배우는 대사 열줄 도 안되고 눈빛연기인데 대장 이순신이고,, 변요한 배우는 그 어려운 일본어 고어로 천페이지 대사를 하는데 ...",2022.07.27
10,역사의 아픔과 그들의 사투가 잘 보여지는 국뽕 영화,2022.07.27
10,요즘 이래저래 나라 돌아가는 꼴 보며 답답했는데 간만에 감동입니다. 한번 더 봐야겠어요.,2022.07.27
10,그저 감사한 마음이 가득 드는 영화.,2022.07.27
9,박해일 배우가 이순신 역에 잘 어울릴까?  했는데 생각보다 아주 잘 어울렸다.,2022.07.27
10,오랜만에 정말 가슴이 웅장해지는 영화를 봤네요... 시원시원한 해전 액션 최고입니다!,2022.07.27
10,마지막 전투씬 50분은 감탄만 하다 끝났음... 한번 보는걸로 부족하다 느낀 영화,2022.07.27
10,글쎄요? 명량이 더 재밌는듯?,2022.07.27
9,후반부 해전씬의 몰아침이 장난 아니다. 거북선 뽕이 제대로 차오른다. 캬아~,2022.07.27
8,왜 백원에 계세요 ㅠㅠ하 가슴이 웅장해징다,2022.07.27
10,음양으로 고생하신 울 조상님 감사합니다!,2022.07.27
10,관객들의 심장에 발포하라,2022.07.27
10,거북선 나올 때 눈물날뻔 ㄷ,2022.07.27
10,대체 누가 재미없다 한건지..한산보다보면 아 이 사람들이 명량에서 이사람이구나 라는 유추도 할 수 있어서 좋고 배우들 연기 또한 훌륭역사 안다면 가슴이 웅장해지는 그런 영화,2022.07.27
10,명랑보다 백배 천배 낫다. 무엇보다 신파가 없다는 점. 깔끔하고 담백하다. 명량 리메이크했으면 좋겠다는 생각마저 든다.,2022.07.27
10,"하늘엔 탑건 바다엔 한산, 진짜다!",2022.07.27
7,스토리는 진짜 예상이 모두 가지만 국뽕은 최대치로 충전 가능,2022.07.27
10,난 왜구가 아닌데 거북선에 압도될 뻔,2022.07.27
10,영상미의 발전이 눈에 띄입니다.,2022.07.27
10,섬멸했구나 마침내,2022.07.27
10,"옆사람 보느라 영화가 사실 기억이 안나는데, 옆 사람이 좋았데요",2022.07.27
10,명량보다 훨씬 몰입이 잘 되었습니다. 노량이 기대되네요.,2022.07.27
10,명량보다 훨씬 좋다 추천함,2022.07.27
10,크아아아아 킹왕짱 거북선이 울부지젔다,2022.07.27
10,역시 이순신 장군... 앞으로 개봉될 노량도 기대되었구요 아이와 다시 명량보고싶다 생각이 들었답니다. 시간되면 또 재관람하고싶었구요 근데 변요환은 빌런인데 왜~ 멋있을까요 ^^,2022.07.27
10,신파가 없고 정말 재미있게 봤습니다,2022.07.27
10,솔직히 한산대첩이 백병전이 없는 전투다보니 전투액션 지수는 명량이 비해서 낮다. 하지만 거북선을 대형스크린으로 볼 수 있다는거 하나로 볼 가치가 있다.,2022.07.27
10,불필요한 감성을 최대한 덜어내 담백하고 묵묵하게 나아간다,2022.07.27
10,흥 너네집엔 거북선 없지?,2022.07.27
10,명량처럼 뭔가 극적인 스토리라인보다 한산대첩의 전략적이야기에 초점을 두고 항상 모든 전투에 신중을 기하고 내가 싸우고 싶은곳에서 싸워야하는 이순신장군의 특유의 성격을 아주 잘 묘사했다고 생각합니다.,2022.07.27
10,엄청난 장점이 있는것은 아니지만 명량의 단점이 대부분 개선되어 큰 단점도 없는 담백한 작품으로 느껴집니다. 가족이나 지인과 남녀노소 즐겁게 관람하기엔 더할 나위없이 좋습니다. 영화관만이 주는 추가적인 감동이 있기에 ...,2022.07.27
8,후반 40여분의 쾌감은 스크린에서만 느낄 수 있을 것,2022.07.27
10,오랫만에 멋진 한국영화를 봤네요n차 관람해도 좋을것 같아요박해일.. 딱 이순신이에요~,2022.07.27
10,국뽕이 차오르는 영화! 너무 재미있게 봤습니다.,2022.07.27
10,"영화의 전당 야외 시사회 갔는데, 이건 음향이 좋은 곳에서 봐야된다는 확신이 들었습니다. 바람 부는 좋은 곳에서 잘 봤어요!",2022.07.27
10,명량보다 훨씬 낫네용 재밌습니다,2022.07.27
10,전편의 단점을 보완할 줄 아는 감독은 흔치 않다.,2022.07.27
10,오랜만에 재밌게 잘봤네요추천합니다,2022.07.27
8,말이 필요없다!이순신 장군 세글자는 가슴을 끓어오르게 한다,2022.07.27
10,우리 이순신 장군의 지장으로서 명연기가 돋보임,2022.07.27
10,박해일 이순신 너무 멋있고 해전이 정말 인상깊었습니다 아맥으로 한번 더 보려합니다,2022.07.27
10,연기를 잘해..역시...,2022.07.27
10,박해일 연기가 좋았어요~ 여름에 보기 좋을것 같아요,2022.07.27
10,눈물은 뺴고 완성도는 높였다 한번 더 보러갈 예정입니다.,2022.07.27
10,학익진이 멋있었음. 근데 아무리 과묵하다고 하지만 이순신 대사가 너무 없다는 느낌이 개인적으로 있었음. 몬가 뇌리를 강타하는 대사가 없다는 느낌?,2022.07.27
10,가슴이 웅장해 지는 영화. 명량 보다 전투신이 한층 더 발전 되었다,2022.07.27
10,넘 재밌어서 집에와서도 계속 찾아봐요 박해일님 최종병기 활을 너무 재밌게 봤어서 아직도 보는데 역시나네요,2022.07.27
10,범죄도시 2 이후 최고로 만족한 한국영화,2022.07.27
8,진짜.... 시간가는줄 모르고 봤네요ㅠ사운드랑 효과때문에 영화관에서 꼭 봐야합니다ㅠ배우들 연기 진짜 감동적이고 노량해전편벌써 기대돼요ㅠㅠ 주말에 또 보러가려구요!!!,2022.07.27
10,"사실 명량의 재탕이 되지 않을까 엄청 걱정했는데, 그냥 기우였네요.이렇게 되면 노량을 기대 안 할 수가 없을거 같아요.",2022.07.27
10,한산 용의 출현 한산 용이 풀현,2022.07.27
7,영웅히어로 슈퍼맨  이런거  없이 담백하게  만들었는데도 흡인력은  쩔어주네.,2022.07.27
10,해전 장면들은 가슴이 웅장해질 수 밖에 없다 크..무조건 영화관에서 봐야 알수있음 ㅋㅋ,2022.07.27
1,이제껏 보지 못했던 해전입니다!!! 시원하고 간장되고 쫄리고 가슴이 웅장해지기도 하고!,2022.07.27
10,1편보다 많이 별로 였음 크게 기대하지 마시고 보시길 바랍니다.  이순신 대사가 없어도 너무 없음ㅠㅠ,2022.07.27
10,절로 국뽕이 차오를만큼 너무 감동적이게 봤습니다.,2022.07.27
10,명량에 비해 신파와 이순신의 비중은 줄고 액션은 더욱 강화된 느낌. 개인적으로는 명량보다 더 좋았고 부모님 모시고 MX관에서 봤는데 부모님도 굉장히 좋아하셨음. 내년 추석에 개봉한다는 '노량' 도 이 ...,2022.07.27
10,"""한 바다에서 그것도 한 사람한테 23번이나 졌어요. 서래씨는 뭐라고 말할래요? 참 불쌍한 왜구네""",2022.07.27
10,전투씬 맘속에 저장!!,2022.07.27
10,왜구는 바다에 던져버려요,2022.07.27
10,거북선 나올때마다 짜릿하네요,2022.07.27
10,배우님들 연기가 다했습니다..,2022.07.27
10,해상전투씬 쾌감쩐다ㅋㅋ 솔직히 올해 본 한국 영화 중 원탑ㅠ 박해일이 연기한 이순신도 그 자체로 너무 멋있었음 b,2022.07.27
10,생각보다 재밌어서 놀랐음,2022.07.27
8,국뽕 치사량 흡입. 조선은 지켜질 가치가 없지만 이순신 장군은 칭송받아 마땅하다.,2022.07.27
10,박해일의 이순신은 최고다,2022.07.27
10,아는 맛이 무섭고 아는 이야기가 재미있다,2022.07.27
7,중간 좀 지루했음. 변요한이 주인공인줄,2022.07.27
9,극장나오면서 느낀점.... 다시 보고 싶다!!!!이건 꼭 극장에서 봐야할 영화!!!!,2022.07.27
10,"영화관에서 한산 영화를 두번봤는데 처음보다 두번째가 더 재밌게 봤습니다. 실화를 바탕으로 철저한 고증을 거쳐서 김한민 감독의 심혈을 기울려서 만든 영화라서 그런지 시나리오와 완성도,연기,연출,화려한 해상전투신등 전체...",2022.07.27
6,쉴새없이 몰아쳐서 너무 재밋음,2022.07.27
10,왜구들은 바다에 버려요. 깊은 데 빠뜨려 아무도 못 찾게 해요. p181,2022.07.27
10,거북선 멋있었습니다,2022.07.27
10,"그동안 임진왜란이나 일제영화들 보면 허구나 왜곡도 많고 국뽕 때매 보기 싫었는데, 이 영화는 그러한 부분들이 많이 줄어서 좋았음. 스토리 부분에서 다소 아쉬운 부분이 있었지만, 그래도 좋았다",2022.07.27
9,정말 정말 재밌게 봤고 내용도 감동적이고 멋지고 다 했지만 배우들을 너무 유명한 배우들로만 쫙 깔아놔서 약간 몰입도가 떨어졌어요ㅠㅠ 하지만 연기력 짱짱한 배우들이여서 최고 ㅎㅎ,2022.07.27
10,진짜 임진왜란 한복판에 있는거같은 느낌...,2022.07.27
9,변요한의 연기가 돋보임. 지난 명량의 단점을 보완한 선택과 집중의 결과물.,2022.07.27
10,마음이 벅차올라 내 나라가 더 자랑스러워지는~,2022.07.27
9,명량을 재미있게 봐서 기대했는데 배우들 연기랑 전투장면 연출이 대박임 4DX가 그렇게 재밌다는데… N차 각인가,2022.07.27
8,이순신 캐릭터가 넘 고구마..부하들이 물어보면 뭐 하나 시원하게 대답해주는게 없고대사 해봤자 조용하게 '발포하라' 끝,2022.07.27
10,이순신의 여러가지 면모를 보여주고 싶었던 감독의 의도를 이해하면 박해일 대사 적은게 어느정도 수긍이 감. 나대용의 연기와 거북선이 인상 깊었음. 거북선 굿즈 좀 만들어라.,2022.07.27
10,영화 재밌었습니다. 2번이나 봐도 재밌네요.,2022.07.27
10,역시 이순신장군님은 담백하게 봐도 멋있다,2022.07.27
10,"변요한 연기는 역시 , 말해뭐해여,~",2022.07.27
4,아이들과 모두 몰입되어 보았구요. 작은아이는 보는내내 이순신장군 멋있다며 감탄했어요~!!,2022.07.27
10,군더더기 없이 전쟁 그 자체에 집중한 영화라 좋았습니다.,2022.07.27
10,음향이 엄청 짱짱해서 영화관에서 보시면 좋을 것 같아요!,2022.07.27
9,결말을 알고 있음에도 불구하고 이 긴장감이란,2022.07.27
10,사극적 신파를 버리고 전투와 전략에 집중했을 때의 짜릿함.,2022.07.27
8,박해일짱멋?? 너무멋있어요,2022.07.27
10,이거 극장에서 안보면 필시 후회합니다. 음향 빵빵 터져요.,2022.07.27
10,굉장했다. 마지막 거북선 눈에서 레이저 나오고 팔다리 나와서 다 부수는 장면은 진짜.. 엔딩크레딧에 우린 거북선 노래까지 완벽,2022.07.27
10,한산... 1000만 갈 거 같은디..,2022.07.27
10,마지막 바다위 전투씬이 다 했다. 압도적인 승리 끝!,2022.07.27
10,조카들이 역사공부하고싶대서 보여줬는데 아직 아이들에겐 어려운 내용이긴한가봐요 ㅠㅠㅠ 그래도 덕분에 이순신장군님이 누군지 알았다고 좋아하네요~,2022.07.27
10,중간 이상 앞 좌석에 앉아서 시야를 해상으로 가득 채워서 보길 추천합니다. 아쉬운 부분이 있어도 재밌게 보고 왔습니다.,2022.07.27
9,거북선,2022.07.27
9,소름돋고 재밌음. 스트레스 확풀림. 이건꼭 영화관에서 봐야 120%즐길수있음,2022.07.27
10,속시원하게 후려제끼네 개사이다!!!,2022.07.27
10,"거북선 연출은 소름 돋을 정도로 좋았다. 그런데 약간 아쉬운 점은 배우 분들이 캐릭터를 잘 소화한 느낌은 들지는 않았다는 거.. 연기력의 문제가 아니라 배역에 어울리지 않는 듯한 느낌을 여럿 받았다. 하지만 거북선,...",2022.07.27
10,흥미롭고 재미있었음 근데 뭔가 모르게 지루하다 해야하나 분명 재미있었는데 평소 영화 볼 때 보다 시계를 자주 봄 근데 재미는 있었음,2022.07.27
10,탑건에 이어 정공법이 훌륭한 영화,2022.07.27
8,해상전투 아주 멋있다.,2022.07.27
10,진짜 최근에 본 영화중에 제일 재미있었어요! 이순신 너무 멋있읍니다...,2022.07.27
7,청년의 이순신과 짜릿한 승리의 역사를 빵빵한 사운드로 느낄 수 있어 너무 재밌었음,2022.07.27
10,해전 영상이 CG라고 믿기 힘들 정도로 임장감이 넘쳤습니다. 다수의 거북선 등장으로 명랑에서는 볼 수 없었던 웅장함까지!  영화 제목처럼 오롯이 해전에 스포트라이트가 집중된 영화입니다. 하지만 명랑에서처럼 이순신 장...,2022.07.27
9,해전씬 미쳤다 웅장함에 압도됨...ㄷㄷ 이건 무조건 아맥으로도 봐둬야할듯...!!!,2022.07.27
7,복.. 복카이센!!!,2022.07.27
10,"지난 시리즈의 단점(지난친 국뽕과 신파)를 해결하고, 한산도 전투를 보여주는데 큰 중점을 둔 것으로 보인다. 더운 여름에 가족들과 시원하고 보기 좋은 작품!",2022.07.27
10,가족끼리 봤는데 재미있었어요. 영화 시간이 길었는데 길게 안 느껴졌어요.,2022.07.27
10,절제와 정적인 연출이 돋보인다,2022.07.27
10,완벽한 영화.. 우리에게 이런 역사가 있다는 게 얼마나 자랑스러운지. 이 대단한 걸 시각적으로 재현해 준 감독과 배우들에게 감사!,2022.07.27
10,영화가 담백하고 긴장감 넘친다!!,2022.07.27
10,의와 불의의 싸움..,2022.07.27
7,나름 재밌게 관람 초반엔 약간지루,2022.07.27
9,전체적인 내용상 소리가 크면 더욱 긴장감을 고조시킬 수 있기에 선택한 전략일 수 있지만 그걸 감안하더라도 너무 큰 소리에 오히려 몰입감을 떨어트렸고 몇몇 장면들이 (?)하게 만드는 면들이 없지않아 있어 내용으로 볼때...,2022.07.27
9,최고 입니다.,2022.07.27
10,재밌었습니다. 출연자 모두 제몫을 잘해 주셔서 잘 몰입해서 볼 수 있었고 캐릭터별 특징이 매력적으로 잘 살아 있어 재밌었습니다. 알고 있는 내용이지만 손에 땀을 쥐게 하는 연출 덕분에 즐거웠어요 ㅎㅎ,2022.07.27
10,명랑보다 더 치열해진 전투신너무 재밌었어요,2022.07.27
9,가족과 또 보러갈 결심!!,2022.07.27
10,재밌었어요. 근데 다시 보라면 집에서는 못 볼듯요.,2022.07.27
10,영화 러닝타임의 대부분은 학익진을 위한 빌드업 과정! 한산도대첩의 영상미는 정말 끝내줬으며 학익진의 새로운 해석을 엿볼 수 있어 신선하였다.,2022.07.27
8,재밌습니다. 거북선이 다했습니다. 한산 대첩을 이런 영상으로 보게되어 감개가 무량합니당.,2022.07.27
10,노량이 기다려진다,2022.07.27
8,50분동안 왜구를 팬다는 멋진 글을 보고 예매했습니다 이거 하나만으로도 10점만점에 10점~~~!,2022.07.27
1,명량때와 똑같은 전개방식해전을 제외한 모든 이야기전개방식이 지루하다 해전 연출은 압도적이였음명량에서의 감독의 능력이 물음표였다면한산에서는 마침표를 찍은 느낌역량의 한계가 보인다,2022.07.27
10,재밌게 잘 보았습니다 추천해요,2022.07.27
9,재미있게 잘 봤어요,2022.07.27
9,"2시간 내내 시간가는 줄 모르는 긴장감,실제로 한산에 온 듯한 현장감특히 한국영화 특유의 신파가 없어서 더 집중이 잘되었습니다.",2022.07.27
10,영화관에서 큰 스크린으로 감상하길 잘했음,2022.07.27
10,묵직한 쾌감이 있는 영화!,2022.07.27
10,해상전투씬에서의 카타르시스,2022.07.27
10,거북선 등장하고나서 소오름,2022.07.27
6,장면장면 빠른 속도감으로 지루하지 않게 풀어냈다. 신파 싫어하면 좀 지루할 수도...,2022.07.27
10,전편의 단점을 보안하고 더욱 단단한 결심,2022.07.27
10,우리나라 사람이라면 취하지 않을 사람이 몇이나 될까요? ㅎㅎ스토리 몰입도는 약간 아쉽지만 그래도 악역을 표면적인 악당으로 표현하지 않은 점이 좋았던 것 같습니다.,2022.07.27
10,왜구는 시원하게 때려 뿌셔야,2022.07.27
10,전편에 이은 명작 입니다.,2022.07.27
10,몀량보다 재밌었어요 명량이 별로라,2022.07.27
10,이순신이 그렇게 만만합니까?,2022.07.27
10,발포하라!!끝까지 긴장을 놓지 못하고 봤습니다.무더운 여름 시원한 극장에서 보기 딱!! 좋은 영화네요!!!스토리 연기 연출 격투씬 모든게 완벽합니당!!!!,2022.07.27
10,진짜…일본 망해라ㅡㅡ,2022.07.27
10,더도 덜도 없이 깔끔한 영화,2022.07.27
9,거북선이 등장하는 순간부터 눈을 뗄 수 없다,2022.07.27
8,주연은 물론 조연들의 연기도 좋았고 강렬했다,2022.07.27
7,"이순신 영웅의 역경을 딛고, 싸우는거 감동스럽게 봤네요.",2022.07.27
10,이순신 장군의 고뇌와 함께 압도적인 거북선을 볼 수 있어서 좋았어요.,2022.07.27
8,국뽕이 차오른다,2022.07.27
10,여름에 시원하니 바다에서 펼쳐지는 학익진 한산대첩 잘봤습니다,2022.07.27
8,아주아주 긴장감 넘치게 잘봤습니다~~강추,2022.07.27
1,전작의 단점으로 보인 부분을 거의 개선한 수작. 담백하면서도 격하게 느껴진 작품이에요.,2022.07.27
10,전반부는 지루하고 후반부 한산해상전투는 볼만했다 명량의 국뽕이 쭉 빠져 그래도 볼만했음,2022.07.27
1,올 여름 무더위.. 한산이 해결해준다..,2022.07.27
7,"2탄 보고나니, 3탄이 기대됩니다.   노량해전에서 이순신 장군의 전사를 어떻게 봐야할까 벌써부터 걱정이군요.한산,  명량 보다 확실히 나아지긴 했지만, 일취월장까지는 아닌 듯.영화 톤이야 감독의 취향 그대로 계속되...",2022.07.27
10,무난하게 시원하게 볼만하네요.,2022.07.27
9,지려따,2022.07.27
1,명량과 달리 뚜렷하게 한길로 달려 용의 출현을 마주하게 되는 순간의 쾌감이 정말 크다,2022.07.27
8,액션신이 실감납니다. 노량도 기대가되네요,2022.07.27
8,해상전투씬 멋졌고 연기도 좋아요.,2022.07.27
2,국뽕 분명하지만 계속 눈 못떼게하고 꼼짝 못하게하는 2시간 넘은 순삭!,2022.07.27
10,볼만함,2022.07.27
1,"명량도 너무 재미있게 봤는데, 한산역시 굿굿굿!개봉날이 기대될정도로 기다렸는데~기다려 개봉하자마자 보길 잘한듯 해용!!완전 강추합니다앙^^",2022.07.27
1,재미있게 잘 봤습니다. *^^*,2022.07.27
1,전투장면 최고였습니다,2022.07.27
1,"영화가 나쁘지는 않음. 액션도 멋진 편임. 그런데 김한민 감독, 이제 대사는 그만 써야 할 듯 대사가 너무 유치함. 촌스럽게 신판 감성 못 버리는 것도 감점 포인트.",2022.07.27
1,후반의 전투씬에서 자리를 박차고 일어나고 싶을 정도로 신이 났다. 거기까지 빌드업하는 과정이 지난한 여정이긴 하나 충분히 즐길 수 있으리라 생각된다. 요즘 정세와 비교해서 그런지 영화를 보면서 왜적에 맞서는 당찬 모...,2022.07.27
9,웃음기 1도 없어서 당황했지만 나라를 지켜주신 조상님들 감사합니다 ㅠㅠ,2022.07.27
8,초중반까지는 좀 지루한 편이고 중후반은 볼만 해요. 일본어 연기는 몇몇이 좀 아쉽네요.,2022.07.27
